App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6078388,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6075142,HDR,05/21/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076555,HDR,06/13/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6076256,HDR,06/08/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078271,HDR,07/13/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6073053,HDR,04/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074403,HDR,05/11/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,07/17/2024 05:00:01 AM
6078195,HDR,07/12/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076182,HDR,06/06/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077728,HDR,07/03/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072233,HDR,04/11/2024,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6077096,HDR,06/23/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076639,HDR,06/14/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073370,HDR,04/26/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074702,HDR,05/15/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075265,HDR,05/23/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
5776947,HDR,03/27/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6071882,HDR,04/05/2024,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,07/17/2024 05:00:01 AM
6072034,HDR,04/08/2024,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,07/17/2024 05:00:01 AM
6072778,HDR,04/18/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078229,HDR,07/13/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6073001,HDR,04/22/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078085,HDR,07/10/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077060,HDR,06/22/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6072976,HDR,04/22/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6074539,HDR,05/13/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,07/17/2024 05:00:01 AM
6077173,HDR,06/24/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077487,HDR,06/29/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072541,HDR,04/16/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6071834,HDR,04/04/2024,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072184,HDR,04/10/2024,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074495,HDR,05/13/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076285,HDR,06/09/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075696,HDR,05/30/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072546,HDR,04/16/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078091,HDR,07/10/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077477,HDR,06/29/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6078312,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077130,HDR,06/24/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074293,HDR,05/09/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073727,HDR,05/01/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073551,HDR,04/29/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,07/17/2024 05:00:01 AM
6075566,HDR,05/28/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076971,HDR,06/20/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077987,HDR,07/09/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072351,HDR,04/12/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077978,HDR,07/09/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075700,HDR,05/30/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077430,HDR,06/28/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6077672,HDR,07/02/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075707,HDR,05/30/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074807,HDR,05/16/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076411,HDR,06/11/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075068,HDR,05/20/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075831,HDR,06/01/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073525,HDR,04/29/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076779,HDR,06/17/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6076894,HDR,06/19/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075627,HDR,05/29/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077703,HDR,07/03/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6077524,HDR,06/30/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6076937,HDR,06/20/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075249,HDR,05/22/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077471,HDR,06/28/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074188,HDR,05/08/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6075643,HDR,05/29/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6077243,HDR,06/25/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6078167,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076884,HDR,06/19/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078086,HDR,07/10/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6071409,HDR,03/29/2024,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076097,HDR,06/05/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072723,HDR,04/18/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6074166,HDR,05/07/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6076235,HDR,06/07/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074858,HDR,05/17/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077137,HDR,06/24/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076279,HDR,06/08/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6075086,HDR,05/21/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074397,HDR,05/11/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073290,HDR,04/25/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6073862,HDR,05/03/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075804,HDR,05/31/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6076830,HDR,06/18/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074963,HDR,05/19/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078131,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072820,HDR,04/19/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078201,HDR,07/12/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077881,HDR,07/07/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077528,HDR,06/30/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6073874,HDR,05/03/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6071029,HDR,03/25/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073616,HDR,04/30/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6076414,HDR,06/11/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075657,HDR,05/29/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6075973,HDR,06/04/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,07/17/2024 05:00:01 AM
6078142,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076252,HDR,06/07/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076663,HDR,06/14/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074713,HDR,05/15/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,07/17/2024 05:00:01 AM
6073104,HDR,04/23/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077007,HDR,06/21/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6075240,HDR,05/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6077587,HDR,07/01/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077541,HDR,07/01/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6077929,HDR,07/08/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074715,HDR,05/15/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074905,HDR,05/18/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6071420,HDR,03/30/2024,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076001,HDR,06/04/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,07/17/2024 05:00:01 AM
6077658,HDR,07/02/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,07/17/2024 05:00:01 AM
6075269,HDR,05/23/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077297,HDR,06/26/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6074018,HDR,05/06/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076273,HDR,06/08/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078260,HDR,07/13/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6074334,HDR,05/09/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6076847,HDR,06/18/2024,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077504,HDR,06/29/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,07/17/2024 05:00:01 AM
6077581,HDR,07/01/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074896,HDR,05/17/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078432,HDR,07/16/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078329,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078352,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6075733,HDR,05/30/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,07/17/2024 05:00:01 AM
6072833,HDR,04/19/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074749,HDR,05/16/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6076550,HDR,06/13/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,07/17/2024 05:00:01 AM
6071957,HDR,04/06/2024,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6072535,HDR,04/16/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075246,HDR,05/22/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076104,HDR,06/05/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6074597,HDR,05/14/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074103,HDR,05/07/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable,07/17/2024 05:00:01 AM
6072421,HDR,04/13/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078145,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6077806,HDR,07/05/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074071,HDR,05/06/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6073458,HDR,04/28/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076026,HDR,06/04/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6075436,HDR,05/25/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6076044,HDR,06/04/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6077229,HDR,06/25/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074897,HDR,05/18/2024,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078241,HDR,07/13/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074594,HDR,05/14/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6073199,HDR,04/24/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076963,HDR,06/20/2024,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6078206,HDR,07/12/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078160,HDR,07/11/2024,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,07/17/2024 05:00:01 AM
6078014,HDR,07/09/2024,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074399,HDR,05/11/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6074220,HDR,05/08/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6076946,HDR,06/20/2024,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,07/17/2024 05:00:01 AM
6074381,HDR,05/10/2024,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,07/17/2024 05:00:01 AM
6077797,HDR,07/05/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6073703,HDR,05/01/2024,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,07/17/2024 05:00:01 AM
6077527,HDR,06/30/2024,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
6078331,HDR,07/15/2024,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,07/17/2024 05:00:01 AM
